iter	Passed	Remaining
0	147	73611
1	153	38280
2	160	26521
3	166	20608
4	173	17171
5	176	14498
6	181	12806
7	187	11545
8	194	10593
9	199	9788
10	205	9151
11	212	8626
12	218	8168
13	223	7775
14	229	7432
15	236	7152
16	242	6884
17	248	6641
18	254	6439
19	260	6249
20	265	6049
21	270	5876
22	276	5728
23	281	5580
24	287	5459
25	293	5347
26	297	5215
27	303	5116
28	308	5018
29	313	4913
30	319	4831
31	324	4746
32	329	4657
33	334	4590
34	340	4520
35	344	4445
36	350	4386
37	356	4333
38	361	4276
39	367	4223
40	372	4169
41	377	4118
42	383	4073
43	388	4025
44	393	3977
45	398	3935
46	405	3907
47	410	3867
48	416	3830
49	421	3789
50	425	3749
51	430	3705
52	434	3664
53	439	3631
54	444	3597
55	449	3563
56	454	3532
57	459	3498
58	463	3468
59	468	3438
60	473	3409
61	478	3379
62	483	3353
63	488	3325
64	493	3299
65	497	3273
66	502	3245
67	506	3217
68	511	3193
69	515	3168
70	520	3144
71	524	3120
72	529	3097
73	534	3079
74	539	3056
75	543	3033
76	548	3012
77	552	2989
78	557	2969
79	561	2950
80	566	2930
81	571	2912
82	576	2895
83	581	2880
84	587	2867
85	592	2852
86	597	2837
87	602	2822
88	607	2807
89	612	2789
90	624	2805
91	630	2797
92	635	2779
93	640	2764
94	644	2748
95	649	2734
96	654	2719
97	659	2704
98	663	2689
99	668	2674
100	673	2661
101	679	2649
102	684	2638
103	689	2626
104	694	2614
105	700	2603
106	705	2591
107	712	2585
108	717	2575
109	723	2564
110	728	2552
111	733	2540
112	738	2530
113	744	2519
114	749	2510
115	754	2497
116	759	2484
117	764	2473
118	768	2460
119	773	2448
120	778	2437
121	783	2426
122	787	2414
123	792	2402
124	796	2389
125	801	2378
126	806	2367
127	810	2356
128	815	2345
129	820	2334
130	824	2323
131	830	2314
132	834	2302
133	839	2292
134	843	2280
135	847	2269
136	852	2259
137	857	2250
138	862	2240
139	867	2229
140	872	2221
141	876	2210
142	881	2199
143	886	2191
144	891	2182
145	896	2173
146	901	2165
147	906	2155
148	911	2147
149	916	2137
150	921	2129
151	925	2119
152	930	2111
153	935	2101
154	939	2091
155	944	2081
156	949	2074
157	952	2062
158	958	2055
159	964	2050
160	970	2043
161	975	2036
162	981	2028
163	986	2020
164	993	2017
165	1001	2015
166	1009	2012
167	1016	2008
168	1022	2003
169	1032	2004
170	1040	2002
171	1047	1998
172	1056	1996
173	1064	1993
174	1071	1990
175	1077	1983
176	1085	1980
177	1090	1973
178	1096	1966
179	1102	1960
180	1107	1952
181	1113	1944
182	1118	1936
183	1123	1929
184	1128	1922
185	1135	1917
186	1140	1909
187	1146	1901
188	1151	1894
189	1156	1886
190	1161	1878
191	1167	1873
192	1172	1865
193	1178	1858
194	1184	1852
195	1189	1844
196	1195	1838
197	1200	1830
198	1205	1822
199	1210	1815
200	1215	1808
201	1220	1801
202	1225	1793
203	1231	1786
204	1236	1778
205	1241	1771
206	1246	1764
207	1251	1757
208	1257	1750
209	1262	1743
210	1267	1735
211	1272	1728
212	1277	1721
213	1282	1714
214	1288	1707
215	1292	1699
216	1297	1691
217	1302	1684
218	1307	1677
219	1311	1669
220	1316	1662
221	1321	1654
222	1326	1647
223	1331	1640
224	1336	1633
225	1341	1626
226	1346	1619
227	1350	1611
228	1355	1604
229	1360	1597
230	1365	1590
231	1370	1582
232	1374	1575
233	1379	1568
234	1385	1561
235	1390	1555
236	1396	1549
237	1402	1543
238	1407	1536
239	1412	1530
240	1418	1524
241	1424	1518
242	1430	1513
243	1435	1506
244	1440	1499
245	1445	1492
246	1450	1485
247	1455	1479
248	1460	1472
249	1465	1465
250	1470	1458
251	1475	1451
252	1480	1445
253	1485	1438
254	1489	1431
255	1494	1424
256	1499	1418
257	1505	1411
258	1510	1405
259	1515	1398
260	1519	1391
261	1524	1384
262	1529	1378
263	1534	1371
264	1538	1364
265	1543	1357
266	1548	1351
267	1552	1344
268	1557	1337
269	1562	1331
270	1567	1324
271	1573	1318
272	1577	1311
273	1582	1305
274	1584	1296
275	1588	1289
276	1593	1283
277	1598	1276
278	1603	1269
279	1608	1263
280	1613	1257
281	1618	1251
282	1624	1245
283	1629	1239
284	1635	1233
285	1640	1227
286	1645	1221
287	1651	1215
288	1656	1209
289	1662	1203
290	1667	1197
291	1673	1192
292	1678	1186
293	1684	1180
294	1690	1174
295	1695	1168
296	1700	1162
297	1705	1156
298	1712	1150
299	1717	1145
300	1722	1139
301	1728	1133
302	1734	1127
303	1739	1121
304	1746	1116
305	1751	1110
306	1757	1105
307	1763	1099
308	1768	1093
309	1774	1087
310	1780	1081
311	1787	1076
312	1792	1070
313	1799	1065
314	1806	1060
315	1812	1055
316	1820	1050
317	1827	1045
318	1834	1040
319	1840	1035
320	1847	1030
321	1853	1024
322	1861	1019
323	1868	1015
324	1876	1010
325	1883	1005
326	1891	1000
327	1892	992
328	1900	987
329	1907	982
330	1915	977
331	1922	972
332	1930	968
333	1938	963
334	1946	958
335	1953	953
336	1961	948
337	1968	943
338	1977	939
339	1985	934
340	1994	930
341	2002	924
342	2010	920
343	2018	915
344	2027	910
345	2035	906
346	2044	901
347	2052	896
348	2061	891
349	2069	886
350	2077	881
351	2086	877
352	2094	872
353	2104	867
354	2114	863
355	2123	859
356	2131	853
357	2139	848
358	2148	843
359	2157	838
360	2165	833
361	2173	828
362	2181	823
363	2189	818
364	2197	812
365	2205	807
366	2213	802
367	2222	797
368	2231	792
369	2240	787
370	2249	782
371	2257	776
372	2266	771
373	2275	766
374	2285	761
375	2295	757
376	2311	754
377	2324	750
378	2336	745
379	2345	740
380	2353	735
381	2362	729
382	2371	724
383	2380	719
384	2389	713
385	2398	708
386	2406	702
387	2415	697
388	2422	691
389	2431	685
390	2439	679
391	2447	674
392	2455	668
393	2464	663
394	2472	657
395	2480	651
396	2488	645
397	2497	639
398	2505	634
399	2513	628
400	2521	622
401	2530	616
402	2539	611
403	2548	605
404	2556	599
405	2564	593
406	2578	589
407	2590	584
408	2598	578
409	2607	572
410	2615	566
411	2624	560
412	2632	554
413	2642	548
414	2650	542
415	2659	536
416	2668	531
417	2677	525
418	2686	519
419	2695	513
420	2703	507
421	2711	501
422	2719	495
423	2728	489
424	2737	483
425	2744	476
426	2753	470
427	2761	464
428	2769	458
429	2777	452
430	2786	446
431	2795	440
432	2804	433
433	2811	427
434	2819	421
435	2827	415
436	2835	408
437	2843	402
438	2851	396
439	2859	389
440	2867	383
441	2874	377
442	2883	370
443	2890	364
444	2898	358
445	2905	351
446	2912	345
447	2921	339
448	2930	332
449	2938	326
450	2946	320
451	2955	313
452	2964	307
453	2972	301
454	2981	294
455	2990	288
456	2999	282
457	3007	275
458	3015	269
459	3023	262
460	3032	256
461	3041	250
462	3049	243
463	3057	237
464	3065	230
465	3073	224
466	3082	217
467	3091	211
468	3100	204
469	3108	198
470	3116	191
471	3124	185
472	3133	178
473	3142	172
474	3150	165
475	3158	159
476	3167	152
477	3176	146
478	3185	139
479	3193	133
480	3200	126
481	3208	119
482	3216	113
483	3225	106
484	3233	100
485	3241	93
486	3248	86
487	3256	80
488	3264	73
489	3271	66
490	3280	60
491	3288	53
492	3297	46
493	3305	40
494	3313	33
495	3320	26
496	3328	20
497	3335	13
498	3342	6
499	3349	0
